Alice Johnson|S1001|95.00|88.00|92.00|91.67|A
Bob Smith|S1002|78.00|82.00|75.00|78.33|C
Jamie Smith|S1003|65.00|98.00|75.00|79.33|C
John Doe|S1004|78.00|78.00|78.00|78.00|C
D Jones|101|95.00|95.00|95.00|95.00|A
D Jones|101|95.00|95.00|95.00|95.00|A
D Jones|101|95.00|95.00|95.00|95.00|A
D Jones|101|95.00|94.00|96.00|95.00|A
D Jones|101|95.00|94.00|96.00|95.00|A
Alice Johnson|S1001|95.00|88.00|92.00|91.67|A
Bob Smith|S1002|78.00|82.00|75.00|78.33|C
Jamie Smith|S1003|75.00|65.00|98.00|79.33|C
lll|111|0.00|0.00|0.00|0.00|F
